Geneid	logFC	logCPM	PValue	FDR
YMR170C	2.58464947683288	6.13059627940756	9.287924779946e-09	6.19424316805781e-07
YGL117W	-3.08287753176632	7.46703474486191	9.43802630589554e-09	6.21553563339011e-07
YIL155C	-3.33196981416179	8.62193343272406	9.54997144708218e-09	6.21553563339011e-07
YOR092W	1.7391128156046	8.01714062931134	1.01603887689603e-08	6.53409763451474e-07
YOR384W	6.17282000214681	4.45478810553606	1.0766241992416e-08	6.84226344035664e-07
YBL015W	-1.91217483871062	8.11821616182949	1.13388358678475e-08	7.1223710881526e-07
YKR009C	2.03906233204659	6.51619410438162	1.26035411822287e-08	7.82578499613788e-07
YNL030W	-1.96064514068707	8.51217434768215	1.36273756918079e-08	8.36535039626664e-07
YCR079W	1.97829485048682	6.21295246679217	1.44107578115416e-08	8.74684423572448e-07
YJR010W	-2.19379810872253	6.92618170466171	1.49109284414161e-08	8.94987060450333e-07
YOR381W	2.77626656406465	5.2550380421345	1.55725655822605e-08	9.24428563465616e-07
YJR138W	1.63842814312355	7.7476125135313	1.73117351568753e-08	1.00979429565791e-06
YPL201C	-4.56313136180048	5.96978898343956	1.75251063690247e-08	1.00979429565791e-06
YKL152C	1.71389186297393	10.7203964323893	1.76808934397832e-08	1.00979429565791e-06
YLR024C	1.55377343570211	7.74129341247321	1.78867670179378e-08	1.00979429565791e-06
YMR303C	1.97249174709358	6.80540234387297	1.79452521997703e-08	1.00979429565791e-06
YAL012W	-2.37456834539775	6.3057263703957	1.9003658354622e-08	1.05832744774915e-06
YLR257W	1.55590920037914	8.99975134825292	1.92665934835894e-08	1.0620218163097e-06
YMR015C	2.40542154271012	8.69857797207551	1.98983076656435e-08	1.08084480439388e-06
YER065C	-1.82806815020365	7.54695312067053	2.00625871210089e-08	1.08084480439388e-06
YNL101W	2.20147060828561	8.21600878960011	2.02083164094376e-08	1.08084480439388e-06
YNCD0033W	1.66016956556814	7.35067971140909	2.10049556017955e-08	1.11243892314607e-06
YPL075W	1.95689380748225	6.9479123100621	2.12657151558258e-08	1.11531449778418e-06
YLR152C	1.85855518051186	7.00046380949283	2.16796664711649e-08	1.12609190651185e-06
YML087C	-2.00088781565125	7.64960654057898	2.21652624128481e-08	1.14034997670672e-06
YOR274W	1.99844218217213	6.35159328769903	2.4026947081562e-08	1.21043957577453e-06
YLR346C	-2.87130447626586	5.37120779210271	2.40625542772371e-08	1.21043957577453e-06
YOR020C	-1.87914691028465	8.61240056768575	2.41998286160031e-08	1.21043957577453e-06
YEL070W	-5.96872212099535	7.29696802975453	2.4985579508495e-08	1.23827615142101e-06
YHL032C	-2.65405943364448	7.8934980765192	2.54938617121087e-08	1.25198037244374e-06
YGL251C	2.39146363561878	5.37210791363746	2.58502901613363e-08	1.25804745451836e-06
YHR078W	1.64970011805766	6.47685429151496	2.66089200914473e-08	1.28340523512498e-06
YIL071C	1.88641769423057	6.12774657785017	2.98691425362235e-08	1.42790361044849e-06
YNL277W	-2.16854244492789	8.71338578263845	3.05812326277181e-08	1.44912121627134e-06
YDR223W	2.24831208978312	6.20137225839281	3.22422489358543e-08	1.514544597839e-06
YNL142W	2.28084652264868	10.2803956443032	3.26790920189344e-08	1.52183150936451e-06
YLR134W	1.8619864768422	8.66362135879422	3.34649523889365e-08	1.54510831457295e-06
YKL060C	1.7301876141426	12.6862230403005	3.61157176104935e-08	1.65336530959225e-06
YPL271W	-2.15438554810545	10.3296243474009	3.6648567815089e-08	1.66366019611017e-06
YBR235W	1.5757354762664	7.76641411022613	3.97233604399544e-08	1.78374235765927e-06
YKL016C	-1.63944779290194	9.72947205775615	3.99542438498282e-08	1.78374235765927e-06
YGR243W	-2.06011026059917	8.22636955384747	4.08209360886002e-08	1.80749751434933e-06
