Geneid	logFC	logCPM	PValue	FDR
YGR248W	3.1373637583552	7.34508157195246	7.63459299860785e-09	1.03105178446199e-06
YNL173C	2.62618784002218	7.02668271658752	8.29999783209065e-09	1.09357532412082e-06
YNL200C	2.33839058172709	8.39883994240605	8.76842128404772e-09	1.1277859946768e-06
YKL032C	2.62892914187682	7.10181437179752	1.05920095202383e-08	1.33065198670529e-06
YPR184W	2.68852693580836	9.05594502142213	1.10571362417866e-08	1.35751477223026e-06
YBR286W	2.06392472197688	9.79988161564977	1.3208269914319e-08	1.5855794239367e-06
YIL045W	3.00378659108107	7.99742419676463	1.51424592370126e-08	1.77825140865961e-06
YNL144C	2.09760758056278	7.74825208069455	1.66024689880802e-08	1.90822420156615e-06
YKL071W	-3.94017847044904	8.0961274515667	1.69605923579021e-08	1.90877333161223e-06
YNL195C	2.60628851754268	7.4682610961043	1.79763074596724e-08	1.9817961815745e-06
YHR097C	2.5529873652532	6.97502218778518	1.87446036239814e-08	2.02516697553495e-06
YBR169C	2.27819008154378	9.38537747342662	1.9158407752472e-08	2.02928860154615e-06
YFR030W	2.43463278681897	9.06081975012099	2.15206023028091e-08	2.22303680610572e-06
YLL060C	-2.87077298327451	6.17477233651194	2.22433589067047e-08	2.22303680610572e-06
YLL026W	2.99255526229268	12.1578967695723	2.23500804413387e-08	2.22303680610572e-06
YHR174W	-2.19366311938969	8.91212822372621	2.26336587071112e-08	2.22303680610572e-06
YGR060W	-1.86495382594617	8.73342712557987	2.43396357416512e-08	2.34790557636428e-06
YJR094C	3.43028220705891	4.9191194576327	2.63572003105253e-08	2.43555645488469e-06
YNL277W-A	3.53986464292339	4.57408801473248	2.64187822741462e-08	2.43555645488469e-06
YNR074C	5.7236099343392	4.18229741478724	2.66008572451308e-08	2.43555645488469e-06
YKL096W	2.82758646709853	5.97255125290127	2.89021762491225e-08	2.60215926829599e-06
YMR173W	2.01495897118232	9.84812942488434	3.12794394070344e-08	2.77002510945574e-06
YCR102C	-3.71993595754134	6.00955315492439	3.32957898955337e-08	2.90102995186569e-06
YJL158C	1.86093175510228	7.57699786005059	3.49983017984771e-08	3.00096549706942e-06
YNL014W	2.70378813910491	7.16880146035004	3.55661345366974e-08	3.00200404323811e-06
YDR432W	2.37563101396564	7.64189947470777	4.27595434102854e-08	3.51159967297008e-06
YDL039C	-2.79192586862749	6.17511177782111	4.29036613135923e-08	3.51159967297008e-06
YHL008C	2.77094062963838	6.41342694731734	4.52842407533878e-08	3.65112639626569e-06
YBR050C	3.19314841952709	6.63552544141241	4.76219045143221e-08	3.76517187657556e-06
YJL052W	-2.49672559202087	13.2643733191077	4.80927174164595e-08	3.76517187657556e-06
YJR047C	3.08056850567894	4.96191604350236	5.35967045745705e-08	4.13613425874042e-06
YER054C	2.35548488442355	7.680090294387	5.67952866381309e-08	4.28300545924427e-06
YCR091W	2.60325315259881	6.27616721754352	5.70855966430188e-08	4.28300545924427e-06
YKR058W	3.02226817167962	7.26013378054182	5.79784104684444e-08	4.29040237466489e-06
YML058W-A	3.47753472573545	4.79695332917576	6.1444506720172e-08	4.48544899057255e-06
YNL194C	2.26616028220991	6.626525947073	6.42502734660795e-08	4.616470869164e-06
YIL119C	2.85203187944862	8.30960713531352	6.49484979741695e-08	4.616470869164e-06
YJR155W	-3.30025696017926	7.45912465456201	6.94702789842172e-08	4.82737795565671e-06
YCR092C	2.44439895142825	5.71049383037087	6.97029767754949e-08	4.82737795565671e-06
YMR169C	2.65532531760972	6.08117652636059	7.36887246616783e-08	5.03881633699223e-06
YHR176W	2.52151495411745	6.85124239544813	7.71941885211179e-08	5.21253757988849e-06
YMR030W	3.26272953851923	7.04869001857486	7.96503116606979e-08	5.31198745174185e-06
YER038C	2.10507653738861	5.9717724194897	8.14785295048213e-08	5.36764654128103e-06
YNL052W	-1.76935873360215	10.0391009565168	8.47362207697333e-08	5.51500077829035e-06
YPL230W	2.2838279287395	6.78955592439214	8.5904152793793e-08	5.5244551594294e-06
YNL277W	2.07466194505046	8.71338578263845	8.83762451842388e-08	5.61657031159127e-06
